"","employees","salary_2014","salary_2015","raise","got_raise"
"39","Employee 39",37468.5957003385,54061.3785479218,16592.7828475833,TRUE
"40","Employee 40",41916.6727969423,48572.698305361,6656.02550841868,TRUE
"41","Employee 41",32528.4676719457,40819.5390831679,8291.07141122222,TRUE
"42","Employee 42",48000.6257398054,49448.0431545526,1447.41741474718,TRUE
"43","Employee 43",39934.1010767967,45971.0900904611,6036.98901366442,TRUE
"44","Employee 44",49968.7537876889,42912.6759758219,-7056.077811867,FALSE
"45","Employee 45",35749.0182621405,49354.4622231275,13605.443960987,TRUE
"46","Employee 46",33642.2035470605,48689.7761747241,15047.5726276636,TRUE
"47","Employee 47",45262.9835857078,42650.0060642138,-2612.97752149403,FALSE
"48","Employee 48",38738.114349544,40324.1245960817,1586.01024653763,TRUE
"49","Employee 49",31137.0172910392,52485.6667499989,21348.6494589597,TRUE
"50","Employee 50",32915.1837248355,59095.1351309195,26179.951406084,TRUE
"51","Employee 51",48373.3305893838,46318.4629427269,-2054.86764665693,FALSE
"52","Employee 52",39608.2123694941,40014.9678811431,406.755511648953,TRUE
"53","Employee 53",42132.1451896802,46864.3186287954,4732.17343911529,TRUE
"54","Employee 54",44880.4687615484,42246.9214443117,-2633.54731723666,FALSE
"55","Employee 55",31557.3892416432,57975.7548496127,26418.3656079695,TRUE
"56","Employee 56",37543.0253893137,42999.0958701819,5456.07048086822,TRUE
"57","Employee 57",40078.5561650991,54636.8430182338,14558.2868531346,TRUE
"58","Employee 58",35639.8702831939,43693.9489189535,8054.07863575965,TRUE
"59","Employee 59",35243.0194243789,43043.9635226503,7800.94409827143,TRUE
"60","Employee 60",34207.8560590744,52659.6865151078,18451.8304560333,TRUE
"61","Employee 61",43707.9522619024,49208.6526844651,5500.70042256266,TRUE
"62","Employee 62",47040.1147566736,51887.0585598052,4846.94380313158,TRUE
"63","Employee 63",49555.9422113001,41012.3102087528,-8543.63200254738,FALSE
"64","Employee 64",32610.0148679689,50510.3472527117,17900.3323847428,TRUE
"65","Employee 65",47961.4926455542,56793.8934825361,8832.40083698183,TRUE
"66","Employee 66",45525.9059835225,49957.4368167669,4431.53083324432,TRUE
"67","Employee 67",37094.1220642999,53668.7458865345,16574.6238222346,TRUE
"68","Employee 68",36553.0291525647,48954.9501333386,12401.9209807739,TRUE
"69","Employee 69",41120.6756765023,59726.5002317727,18605.8245552704,TRUE
"70","Employee 70",39465.1934690773,49658.1168100238,10192.9233409464,TRUE
"71","Employee 71",49689.3771458417,49892.2261316329,202.848985791206,TRUE
"72","Employee 72",32992.2652430832,54833.2582600415,21840.9930169582,TRUE
"73","Employee 73",39444.5672025904,40559.4774940982,1114.91029150784,TRUE
"74","Employee 74",45537.5016573817,44903.5447183996,-633.95693898201,FALSE
"75","Employee 75",36778.3448891714,58909.3970973045,22131.052208133,TRUE
"76","Employee 76",46308.3653571084,47559.3952136114,1251.02985650301,TRUE
"77","Employee 77",43363.877935335,49557.2704868391,6193.39255150408,TRUE
"78","Employee 78",35652.0804902539,46040.7896898687,10388.7091996148,TRUE
"79","Employee 79",39046.0629714653,49943.993575871,10897.9306044057,TRUE
"80","Employee 80",40954.2759181932,48647.7547418326,7693.47882363945,TRUE
"81","Employee 81",39217.1689029783,45376.1157859117,6158.94688293338,TRUE
"82","Employee 82",40855.8507682756,58111.5828314796,17255.7320632041,TRUE
"83","Employee 83",44657.6321031898,42696.1072022095,-1961.52490098029,FALSE
"84","Employee 84",45800.3894705325,56798.9679286256,10998.5784580931,TRUE
"85","Employee 85",30571.0183130577,59820.6158308312,29249.5975177735,TRUE
"86","Employee 86",48786.1457327381,58650.8253775537,9864.67964481562,TRUE
"87","Employee 87",36753.3567501232,52438.7519806623,15685.3952305391,TRUE
"88","Employee 88",41998.4888425097,59627.5501092896,17629.0612667799,TRUE
"89","Employee 89",35168.308224529,58436.1915802583,23267.8833557293,TRUE
"90","Employee 90",40873.4366530553,47657.2144264355,6783.77777338028,TRUE
"91","Employee 91",43315.0237193331,55362.2870147228,12047.2632953897,TRUE
"92","Employee 92",36425.7344231009,47155.7353390381,10730.0009159371,TRUE
"93","Employee 93",36514.886431396,43465.5561530963,6950.66972170025,TRUE
"94","Employee 94",35624.1575162858,53354.8244042322,17730.6668879464,TRUE
"95","Employee 95",40926.1903446168,50017.1587103978,9090.96836578101,TRUE
"96","Employee 96",39495.5569179729,44739.8753883317,5244.31847035885,TRUE
"97","Employee 97",39188.7798951939,42349.7595498338,3160.97965463996,TRUE
"98","Employee 98",47235.4191541672,45333.5653385147,-1901.85381565243,FALSE
"99","Employee 99",36511.0001666471,52767.2290382907,16256.2288716435,TRUE
"100","Employee 100",34329.7692015767,46368.9776230603,12039.2084214836,TRUE
